"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","330","GET /api/queue returns items","Smoke Tests","Sat Feb 21 20:39:24 UTC 2026","passed","Sat Feb 21 20:39:24 UTC 2026","","","",""
"","343","GET /api/usage returns usage data","Smoke Tests","Sat Feb 21 20:39:24 UTC 2026","passed","Sat Feb 21 20:39:25 UTC 2026","","","",""
"","2115","POST /api/queue with valid video returns 201","Smoke Tests","Sat Feb 21 20:39:21 UTC 2026","passed","Sat Feb 21 20:39:23 UTC 2026","","","",""
"","192","unauthenticated request returns 401","Smoke Tests","Sat Feb 21 20:39:21 UTC 2026","passed","Sat Feb 21 20:39:21 UTC 2026","","","",""
"","332","POST /api/queue with invalid URL returns 400","Smoke Tests","Sat Feb 21 20:39:24 UTC 2026","passed","Sat Feb 21 20:39:24 UTC 2026","","","",""
"","466","GET /api/summaries returns list","Smoke Tests","Sat Feb 21 20:39:25 UTC 2026","passed","Sat Feb 21 20:39:25 UTC 2026","","","",""
"","500","DELETE /api/queue/:id removes item","Smoke Tests","Sat Feb 21 20:39:25 UTC 2026","passed","Sat Feb 21 20:39:26 UTC 2026","","","",""
"","962","GET /api/health returns 200","Smoke Tests","Sat Feb 21 20:39:20 UTC 2026","passed","Sat Feb 21 20:39:21 UTC 2026","","","",""
"","843","POST /api/queue with duplicate returns 409","Smoke Tests","Sat Feb 21 20:39:23 UTC 2026","passed","Sat Feb 21 20:39:24 UTC 2026","","","",""
