"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","extracts from m.youtube.com","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","extractVideoId","",""
"","0","fails when parse required retry","Video Processing","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","runChecks","",""
"","3","returns 400 for invalid YouTube URL","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","POST /queue","",""
"","0","returns null for invalid URLs","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","extractVideoId","",""
"","3","processes a pending queue item","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","POST /queue/:id/process","",""
"","1","extracts from youtube.com/embed/","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","extractVideoId","",""
"","3","deletes a queued item","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","DELETE /queue/:id","",""
"","0","returns null for non-YouTube URLs","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","extractVideoId","",""
"","1","throws on invalid JSON","Video Processing","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","parseSummaryResponse","",""
"","0","extracts JSON from markdown code fences","Video Processing","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","parseSummaryResponse","",""
"","2","returns 403 for non-pro users","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","POST /queue/batch","",""
"","1","searches summaries by query","Summaries","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","GET /summaries/search","",""
"","0","handles extra query params","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","extractVideoId","",""
"","3","respects limit and offset params","Summaries","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","GET /summaries","",""
"","2","returns usage info for pro user","Billing","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","GET /usage","",""
"","2","returns 409 for duplicate video","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","POST /queue","",""
"","4","returns 429 when rate limited","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","POST /queue","",""
"","1","returns 409 for processing items","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","DELETE /queue/:id","",""
"","2","returns 404 for non-existent summary","Summaries","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","GET /summaries/:id","",""
"","2","returns 400 for empty videos array","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","POST /queue/batch","",""
"","2","returns 400 when q parameter is missing","Summaries","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","GET /summaries/search","",""
"","1","resets count when reset date is in the past","Billing","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","GET /usage","",""
"","1","returns 409 for non-pending item","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","POST /queue/:id/process","",""
"","2","returns 400 for more than 10 videos","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","POST /queue/batch","",""
"","1","returns 404 when user not found","Billing","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","GET /usage","",""
"","3","passes a good summary","Video Processing","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","runChecks","",""
"","3","returns 404 for non-existent or already deleted summary","Summaries","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","DELETE /summaries/:id","",""
"","1","extracts from youtu.be/","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","extractVideoId","",""
"","63","returns paginated list of summaries","Summaries","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","GET /summaries","",""
"","3","returns list of queue items","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","GET /queue","",""
"","1","fails when summary is too short","Video Processing","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","runChecks","",""
"","77","adds a video and returns 201 with summary and position","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","POST /queue","",""
"","1","returns null for YouTube URL without video ID","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","extractVideoId","",""
"","3","extracts from youtube.com/watch?v=","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","extractVideoId","",""
"","1","fails when timestamps are missing","Video Processing","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","runChecks","",""
"","2","soft-deletes a summary","Summaries","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","DELETE /summaries/:id","",""
"","1","fails when keyPoints count is too low","Video Processing","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","runChecks","",""
"","3","parses valid JSON response","Video Processing","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","parseSummaryResponse","",""
"","0","throws on missing required fields","Video Processing","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","parseSummaryResponse","",""
"","2","returns 404 for non-existent item","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","DELETE /queue/:id","",""
"","1","extracts from youtube.com/shorts/","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","extractVideoId","",""
"","0","extracts from youtube.com/v/","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","extractVideoId","",""
"","2","returns 400 when videoUrl is missing","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","POST /queue","",""
"","70","returns usage info for free user","Billing","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","GET /usage","",""
"","2","caps limit at 100","Summaries","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","GET /summaries","",""
"","5","returns 404 for non-existent item","Queue","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","POST /queue/:id/process","",""
"","2","returns summary detail","Summaries","Sat Feb 21 21:06:44 UTC 2026","passed","Sat Feb 21 21:06:44 UTC 2026","","GET /summaries/:id","",""
