"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","returns summary detail","GET /summaries/:id","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","0","fails when parse required retry","runChecks","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","1","throws on invalid JSON","parseSummaryResponse","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","1","returns 404 for non-existent item","DELETE /queue/:id","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","1","returns 409 for processing items","DELETE /queue/:id","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","1","extracts from youtu.be/","extractVideoId","Sat Feb 21 19:47:02 UTC 2026","passed","Sat Feb 21 19:47:02 UTC 2026","","","",""
"","3","extracts from youtube.com/watch?v=","extractVideoId","Sat Feb 21 19:47:02 UTC 2026","passed","Sat Feb 21 19:47:02 UTC 2026","","","",""
"","3","returns 404 for non-existent or already deleted summary","DELETE /summaries/:id","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","2","passes a good summary","runChecks","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","1","returns 404 when user not found","GET /usage","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","2","returns 400 for invalid YouTube URL","POST /queue","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","3","returns 403 for non-pro users","POST /queue/batch","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","1","extracts from youtube.com/shorts/","extractVideoId","Sat Feb 21 19:47:02 UTC 2026","passed","Sat Feb 21 19:47:02 UTC 2026","","","",""
"","0","extracts from youtube.com/v/","extractVideoId","Sat Feb 21 19:47:02 UTC 2026","passed","Sat Feb 21 19:47:02 UTC 2026","","","",""
"","2","returns 404 for non-existent summary","GET /summaries/:id","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","1","returns 400 when q parameter is missing","GET /summaries/search","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","2","processes a pending queue item","POST /queue/:id/process","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","0","returns null for non-YouTube URLs","extractVideoId","Sat Feb 21 19:47:02 UTC 2026","passed","Sat Feb 21 19:47:02 UTC 2026","","","",""
"","0","returns null for invalid URLs","extractVideoId","Sat Feb 21 19:47:02 UTC 2026","passed","Sat Feb 21 19:47:02 UTC 2026","","","",""
"","1","returns 400 for empty videos array","POST /queue/batch","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","4","returns 404 for non-existent item","POST /queue/:id/process","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","2","returns 429 when rate limited","POST /queue","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","2","parses valid JSON response","parseSummaryResponse","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","2","deletes a queued item","DELETE /queue/:id","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","1","extracts JSON from markdown code fences","parseSummaryResponse","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","2","returns usage info for pro user","GET /usage","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","1","returns 409 for non-pending item","POST /queue/:id/process","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","1","fails when keyPoints count is too low","runChecks","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","1","returns 400 for more than 10 videos","POST /queue/batch","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","84","adds a video and returns 201 with summary and position","POST /queue","Sat Feb 21 19:47:02 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","0","throws on missing required fields","parseSummaryResponse","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","2","returns 409 for duplicate video","POST /queue","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","1","fails when timestamps are missing","runChecks","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","2","resets count when reset date is in the past","GET /usage","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","1","returns null for YouTube URL without video ID","extractVideoId","Sat Feb 21 19:47:02 UTC 2026","passed","Sat Feb 21 19:47:02 UTC 2026","","","",""
"","64","returns usage info for free user","GET /usage","Sat Feb 21 19:47:02 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","0","extracts from m.youtube.com","extractVideoId","Sat Feb 21 19:47:02 UTC 2026","passed","Sat Feb 21 19:47:02 UTC 2026","","","",""
"","0","extracts from youtube.com/embed/","extractVideoId","Sat Feb 21 19:47:02 UTC 2026","passed","Sat Feb 21 19:47:02 UTC 2026","","","",""
"","2","returns list of queue items","GET /queue","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","2","soft-deletes a summary","DELETE /summaries/:id","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","2","respects limit and offset params","GET /summaries","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","0","fails when summary is too short","runChecks","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","0","handles extra query params","extractVideoId","Sat Feb 21 19:47:02 UTC 2026","passed","Sat Feb 21 19:47:02 UTC 2026","","","",""
"","2","caps limit at 100","GET /summaries","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","1","returns 400 when videoUrl is missing","POST /queue","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","64","returns paginated list of summaries","GET /summaries","Sat Feb 21 19:47:02 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
"","2","searches summaries by query","GET /summaries/search","Sat Feb 21 19:47:03 UTC 2026","passed","Sat Feb 21 19:47:03 UTC 2026","","","",""
